id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,54017,172.66.0.96,8c:ae:4c:dd:1e:39,8c:ae:4c,443,6,4,0,0,1702998656835,1702998989612,332777,194,14959,1702998656835,1702998989554,332719,90,7149,1702998656867,1702998989612,332745,104,7810,60,77.10824742268044,18.312023118567254,144,60,79.4333333333333,16.24326999790126,114,60,75.09615384615383,19.787472368480596,144,0,1724.233160621762,3262.376511478197,9999,0,3738.41573033708,3997.030041762226,10029,3,3230.5339805825247,3955.458982354501,10245,0,0,0,0,194,107,0,0,0,0,0,0,90,56,0,0,0,0,0,0,104,51,0,0,TLS,Web,0,6,,,,,
1,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,111,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,
2,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,80,6,4,0,0,1702998659124,1702998659208,84,3,180,1702998659124,1702998659208,84,2,120,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,3,42.0,55.15432893255071,81,84,84.0,0.0,84,0,0.0,0.0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,HTTP,Web,1,1,,,,,
3,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,199,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,
4,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,5900,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,VNC,RemoteAccess,1,1,,,,,
5,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,1723,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,
6,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,3389,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,RDP,RemoteAccess,1,1,,,,,
7,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,995,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,POPS,Email,1,1,,,,,
8,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,1720,6,4,0,0,1702998659124,1702998659205,81,2,120,1702998659124,1702998659124,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,81,81.0,0.0,81,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,H323,VoIP,1,1,,,,,
9,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,43531,192.168.137.15,0c:8b:95:09:c6:08,0c:8b:95,8888,6,4,0,0,1702998659126,1702998659205,79,2,120,1702998659126,1702998659126,0,1,60,1702998659205,1702998659205,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,79,79.0,0.0,79,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,
